   0 CSIM: 1 : 0.0091966 	 XGBOOST: 1 : 0.00036657  	 Conifer: 0.0058654 : 0.0091966 	 FPGA: 1 : 0.0091966 	 Target: 0 
 329 CSIM: 1 : 00.85096 	 XGBOOST: 1 : 000.9058  	 Conifer: 00.79693 : 00.85096 	 FPGA: 1 : 00.85096 	 Target: 1 
 330 CSIM: 1 : 0.0083805 	 XGBOOST: 1 : 0.0027163  	 Conifer: 0.0056859 : 0.0083805 	 FPGA: 1 : 0.0083805 	 Target: 0 
 331 CSIM: 1 : 00.92469 	 XGBOOST: 1 : 00.89948  	 Conifer: 00.89698 : 00.92469 	 FPGA: 1 : 00.92469 	 Target: 1 
 332 CSIM: 1 : 0.0094857 	 XGBOOST: 1 : 0.00013464  	 Conifer: 0.0060976 : 0.0094857 	 FPGA: 1 : 0.0094857 	 Target: 0 
 333 CSIM: 1 : 00.22001 	 XGBOOST: 1 : 0.0078769  	 Conifer: 00.15817 : 00.22001 	 FPGA: 1 : 00.22001 	 Target: 0 
 334 CSIM: 1 : 00.98145 	 XGBOOST: 1 : 00.99771  	 Conifer: 00.97384 : 00.98145 	 FPGA: 1 : 00.98145 	 Target: 1 
 335 CSIM: 1 : 0.024054 	 XGBOOST: 1 : 0.00010963  	 Conifer: 0.015785 : 0.024054 	 FPGA: 1 : 0.024054 	 Target: 0 
 336 CSIM: 1 : 0.0006825 	 XGBOOST: 1 : 4.1973e-05  	 Conifer: 0.00045831 : 0.0006825 	 FPGA: 1 : 0.0006825 	 Target: 0 
 337 CSIM: 1 : 00.97046 	 XGBOOST: 1 : 00.99786  	 Conifer: 00.95915 : 00.97046 	 FPGA: 1 : 00.97046 	 Target: 1 
 338 CSIM: 1 : 00.97178 	 XGBOOST: 1 : 00.99681  	 Conifer: 00.95946 : 00.97178 	 FPGA: 1 : 00.97178 	 Target: 1 
 339 CSIM: 1 : 00.99248 	 XGBOOST: 1 : 00.99918  	 Conifer: 00.98926 : 00.99248 	 FPGA: 1 : 00.99248 	 Target: 1 
 340 CSIM: 1 : 00.97667 	 XGBOOST: 1 : 00.99805  	 Conifer: 00.96641 : 00.97667 	 FPGA: 1 : 00.97667 	 Target: 0 
 341 CSIM: 1 : 00.94929 	 XGBOOST: 1 : 00.98527  	 Conifer: 00.92736 : 00.94929 	 FPGA: 1 : 00.94929 	 Target: 1 
 342 CSIM: 1 : 0.019419 	 XGBOOST: 1 : 0.00057333  	 Conifer: 0.012821 : 0.019419 	 FPGA: 1 : 0.019419 	 Target: 0 
 343 CSIM: 1 : 00.97967 	 XGBOOST: 1 : 00.99391  	 Conifer: 00.97069 : 00.97967 	 FPGA: 1 : 00.97967 	 Target: 1 
 344 CSIM: 1 : 00.98626 	 XGBOOST: 1 : 00.99658  	 Conifer: 00.98215 : 00.98626 	 FPGA: 1 : 00.98626 	 Target: 1 
 345 CSIM: 1 : 00.99623 	 XGBOOST: 1 : 00.99946  	 Conifer: 000.9947 : 00.99623 	 FPGA: 1 : 00.99623 	 Target: 1 
 346 CSIM: 1 : 00.14223 	 XGBOOST: 1 : 0.0038853  	 Conifer: 00.10017 : 00.14223 	 FPGA: 1 : 00.14223 	 Target: 0 
 347 CSIM: 1 : 00.97443 	 XGBOOST: 1 : 00.99835  	 Conifer: 00.96351 : 00.97443 	 FPGA: 1 : 00.97443 	 Target: 1 
 348 CSIM: 1 : 00.10744 	 XGBOOST: 1 : 00.02562  	 Conifer: 0.072112 : 00.10744 	 FPGA: 1 : 00.10744 	 Target: 0 
 349 CSIM: 1 : 0.083292 	 XGBOOST: 1 : 0.0029212  	 Conifer: 0.058346 : 0.083292 	 FPGA: 1 : 0.083292 	 Target: 0 
 350 CSIM: 1 : 00.95078 	 XGBOOST: 1 : 000.9818  	 Conifer: 00.93046 : 00.95078 	 FPGA: 1 : 00.95078 	 Target: 1 
 351 CSIM: 1 : 0.029535 	 XGBOOST: 1 : 0.0015181  	 Conifer: 0.020023 : 0.029535 	 FPGA: 1 : 0.029535 	 Target: 0 
 352 CSIM: 1 : 0.010408 	 XGBOOST: 1 : 0.00016788  	 Conifer: 0.0066929 : 0.010408 	 FPGA: 1 : 0.010408 	 Target: 0 
 353 CSIM: 1 : 00.24221 	 XGBOOST: 1 : 0.0039789  	 Conifer: 00.17329 : 00.24221 	 FPGA: 1 : 00.24221 	 Target: 0 
 354 CSIM: 1 : 00.99609 	 XGBOOST: 1 : 00.99957  	 Conifer: 00.99466 : 00.99609 	 FPGA: 1 : 00.99609 	 Target: 1 
 355 CSIM: 1 : 00.95257 	 XGBOOST: 1 : 00.99192  	 Conifer: 00.93675 : 00.95257 	 FPGA: 1 : 00.95257 	 Target: 1 
 356 CSIM: 1 : 00.16132 	 XGBOOST: 1 : 0.0011524  	 Conifer: 00.11676 : 00.16132 	 FPGA: 1 : 00.16132 	 Target: 0 
 357 CSIM: 1 : 0.010818 	 XGBOOST: 1 : 0.00013492  	 Conifer: 0.0072327 : 0.010818 	 FPGA: 1 : 0.010818 	 Target: 0 
 358 CSIM: 1 : 00.93196 	 XGBOOST: 1 : 00.95779  	 Conifer: 00.90532 : 00.93196 	 FPGA: 1 : 00.93196 	 Target: 1 
 359 CSIM: 1 : 000.1128 	 XGBOOST: 1 : 0.0027335  	 Conifer: 0.072636 : 000.1128 	 FPGA: 1 : 000.1128 	 Target: 0 
 360 CSIM: 1 : 00.97113 	 XGBOOST: 1 : 00.99808  	 Conifer: 00.95885 : 00.97113 	 FPGA: 1 : 00.97113 	 Target: 1 
 361 CSIM: 1 : 00.95004 	 XGBOOST: 1 : 000.9878  	 Conifer: 00.92893 : 00.95004 	 FPGA: 1 : 00.95004 	 Target: 1 
 362 CSIM: 1 : 0.028653 	 XGBOOST: 1 : 0.0018074  	 Conifer: 0.018833 : 0.028653 	 FPGA: 1 : 0.028653 	 Target: 0 
 363 CSIM: 1 : 0.0027792 	 XGBOOST: 1 : 0.0005505  	 Conifer: 0.0017962 : 0.0027792 	 FPGA: 1 : 0.0027792 	 Target: 0 
 364 CSIM: 1 : 00.99361 	 XGBOOST: 1 : 000.9991  	 Conifer: 00.99108 : 00.99361 	 FPGA: 1 : 00.99361 	 Target: 1 
 365 CSIM: 1 : 0000.992 	 XGBOOST: 1 : 00.99844  	 Conifer: 000.9891 : 0000.992 	 FPGA: 1 : 0000.992 	 Target: 1 
 366 CSIM: 1 : 00.98698 	 XGBOOST: 1 : 00.97202  	 Conifer: 00.98102 : 00.98698 	 FPGA: 1 : 00.98698 	 Target: 1 
 367 CSIM: 1 : 000.9454 	 XGBOOST: 1 : 00.97829  	 Conifer: 00.92359 : 000.9454 	 FPGA: 1 : 000.9454 	 Target: 1 
 368 CSIM: 1 : 0.012821 	 XGBOOST: 1 : 0.00039284  	 Conifer: 0.0083804 : 0.012821 	 FPGA: 1 : 0.012821 	 Target: 0 
 369 CSIM: 1 : 00.91848 	 XGBOOST: 1 : 00.97389  	 Conifer: 000.8872 : 00.91848 	 FPGA: 1 : 00.91848 	 Target: 1 
 370 CSIM: 1 : 00.31574 	 XGBOOST: 1 : 0.019077  	 Conifer: 00.23652 : 00.31574 	 FPGA: 1 : 00.31574 	 Target: 0 
 371 CSIM: 1 : 00.37388 	 XGBOOST: 1 : 0.041859  	 Conifer: 00.28937 : 00.37388 	 FPGA: 1 : 00.37388 	 Target: 0 
 372 CSIM: 1 : 00.99155 	 XGBOOST: 1 : 00.99913  	 Conifer: 00.98822 : 00.99155 	 FPGA: 1 : 00.99155 	 Target: 1 
 373 CSIM: 1 : 0.012821 	 XGBOOST: 1 : 0.00039284  	 Conifer: 0.0083804 : 0.012821 	 FPGA: 1 : 0.012821 	 Target: 0 
 374 CSIM: 1 : 0.048137 	 XGBOOST: 1 : 0.0019322  	 Conifer: 0.032837 : 0.048137 	 FPGA: 1 : 0.048137 	 Target: 0 
 375 CSIM: 1 : 0.089455 	 XGBOOST: 1 : 0.00087697  	 Conifer: 0.059647 : 0.089455 	 FPGA: 1 : 0.089455 	 Target: 0 
 376 CSIM: 1 : 00.90862 	 XGBOOST: 1 : 00.94166  	 Conifer: 00.87147 : 00.90862 	 FPGA: 1 : 00.90862 	 Target: 1 
 377 CSIM: 1 : 0.042404 	 XGBOOST: 1 : 0.00079302  	 Conifer: 0.028871 : 0.042404 	 FPGA: 1 : 0.042404 	 Target: 0 
 378 CSIM: 1 : 00.99646 	 XGBOOST: 1 : 00.99869  	 Conifer: 00.99486 : 00.99646 	 FPGA: 1 : 00.99646 	 Target: 0 
 379 CSIM: 1 : 00.97091 	 XGBOOST: 1 : 00.99722  	 Conifer: 00.95791 : 00.97091 	 FPGA: 1 : 00.97091 	 Target: 1 
 380 CSIM: 1 : 00.98397 	 XGBOOST: 1 : 000.9731  	 Conifer: 00.97702 : 00.98397 	 FPGA: 1 : 00.98397 	 Target: 1 
 381 CSIM: 1 : 00.99304 	 XGBOOST: 1 : 00.99817  	 Conifer: 00.98975 : 00.99304 	 FPGA: 1 : 00.99304 	 Target: 1 
 382 CSIM: 1 : 00.96691 	 XGBOOST: 1 : 00.99074  	 Conifer: 00.95293 : 00.96691 	 FPGA: 1 : 00.96691 	 Target: 1 
 383 CSIM: 1 : 00.97822 	 XGBOOST: 1 : 00.94937  	 Conifer: 00.96956 : 00.97822 	 FPGA: 1 : 00.97822 	 Target: 1 
 384 CSIM: 1 : 0.0087114 	 XGBOOST: 1 : 8.6067e-05  	 Conifer: 0.0057749 : 0.0087114 	 FPGA: 1 : 0.0087114 	 Target: 0 
 385 CSIM: 1 : 00.99785 	 XGBOOST: 1 : 00.99976  	 Conifer: 00.99697 : 00.99785 	 FPGA: 1 : 00.99785 	 Target: 1 
 386 CSIM: 1 : 00.99695 	 XGBOOST: 1 : 00.99927  	 Conifer: 00.99574 : 00.99695 	 FPGA: 1 : 00.99695 	 Target: 1 
 387 CSIM: 1 : 0.044349 	 XGBOOST: 1 : 0.0020226  	 Conifer: 0.029987 : 0.044349 	 FPGA: 1 : 0.044349 	 Target: 0 
 388 CSIM: 1 : 00.92136 	 XGBOOST: 1 : 00.95791  	 Conifer: 00.88798 : 00.92136 	 FPGA: 1 : 00.92136 	 Target: 1 
 389 CSIM: 1 : 0.0024344 	 XGBOOST: 1 : 8.174e-05  	 Conifer: 0.0016104 : 0.0024344 	 FPGA: 1 : 0.0024344 	 Target: 0 
 390 CSIM: 1 : 000.1294 	 XGBOOST: 1 : 0.0048261  	 Conifer: 0.090093 : 000.1294 	 FPGA: 1 : 000.1294 	 Target: 0 
 391 CSIM: 1 : 0.0016104 	 XGBOOST: 1 : 5.8965e-05  	 Conifer: 0.0011073 : 0.0016104 	 FPGA: 1 : 0.0016104 	 Target: 0 
 392 CSIM: 1 : 0.016915 	 XGBOOST: 1 : 9.225e-05  	 Conifer: 0.011245 : 0.016915 	 FPGA: 1 : 0.016915 	 Target: 0 
 393 CSIM: 1 : 0.0045033 	 XGBOOST: 1 : 0.00027638  	 Conifer: 0.0030278 : 0.0045033 	 FPGA: 1 : 0.0045033 	 Target: 0 
 394 CSIM: 1 : 00.56794 	 XGBOOST: 1 : 00.56687  	 Conifer: 00.46879 : 00.56794 	 FPGA: 1 : 00.56794 	 Target: 0 
 395 CSIM: 1 : 00.90261 	 XGBOOST: 1 : 00.92194  	 Conifer: 00.85966 : 00.90261 	 FPGA: 1 : 00.90261 	 Target: 1 
 396 CSIM: 1 : 00.98256 	 XGBOOST: 1 : 00.99836  	 Conifer: 00.97482 : 00.98256 	 FPGA: 1 : 00.98256 	 Target: 1 
 397 CSIM: 1 : 00.28299 	 XGBOOST: 1 : 00.15131  	 Conifer: 00.22135 : 00.28299 	 FPGA: 1 : 00.28299 	 Target: 0 
 398 CSIM: 1 : 00.98409 	 XGBOOST: 1 : 00.99768  	 Conifer: 00.97771 : 00.98409 	 FPGA: 1 : 00.98409 	 Target: 1 
 399 CSIM: 1 : 00.18359 	 XGBOOST: 1 : 0.049122  	 Conifer: 00.13029 : 00.18359 	 FPGA: 1 : 00.18359 	 Target: 0 
 400 CSIM: 1 : 00.96886 	 XGBOOST: 1 : 000.9962  	 Conifer: 00.95728 : 00.96886 	 FPGA: 1 : 00.96886 	 Target: 1 
 401 CSIM: 1 : 00.99695 	 XGBOOST: 1 : 00.99841  	 Conifer: 00.99546 : 00.99695 	 FPGA: 1 : 00.99695 	 Target: 1 
 402 CSIM: 1 : 00.98422 	 XGBOOST: 1 : 000.9987  	 Conifer: 00.97805 : 00.98422 	 FPGA: 1 : 00.98422 	 Target: 1 
 403 CSIM: 1 : 0.010249 	 XGBOOST: 1 : 0.0020374  	 Conifer: 0.0066929 : 0.010249 	 FPGA: 1 : 0.010249 	 Target: 0 
 404 CSIM: 1 : 0.060529 	 XGBOOST: 1 : 0.0018256  	 Conifer: 0.041153 : 0.060529 	 FPGA: 1 : 0.060529 	 Target: 0 
 405 CSIM: 1 : 00.11437 	 XGBOOST: 1 : 0.0081548  	 Conifer: 0.078642 : 00.11437 	 FPGA: 1 : 00.11437 	 Target: 0 
 406 CSIM: 1 : 00.19559 	 XGBOOST: 1 : 0.015508  	 Conifer: 00.13387 : 00.19559 	 FPGA: 1 : 00.19559 	 Target: 0 
 407 CSIM: 1 : 0.049589 	 XGBOOST: 1 : 0.028468  	 Conifer: 000.0341 : 0.049589 	 FPGA: 1 : 0.049589 	 Target: 0 
 408 CSIM: 1 : 00.99543 	 XGBOOST: 1 : 00.99959  	 Conifer: 00.99336 : 00.99543 	 FPGA: 1 : 00.99543 	 Target: 1 
 409 CSIM: 1 : 00.99521 	 XGBOOST: 1 : 00.99961  	 Conifer: 00.99326 : 00.99521 	 FPGA: 1 : 00.99521 	 Target: 1 
 410 CSIM: 1 : 00.97887 	 XGBOOST: 1 : 00.99788  	 Conifer: 00.95946 : 00.97887 	 FPGA: 1 : 00.97887 	 Target: 1 
 411 CSIM: 1 : 0.010408 	 XGBOOST: 1 : 0.00019007  	 Conifer: 0.0068505 : 0.010408 	 FPGA: 1 : 0.010408 	 Target: 0 
 412 CSIM: 1 : 0.016403 	 XGBOOST: 1 : 0.00064887  	 Conifer: 0.010653 : 0.016403 	 FPGA: 1 : 0.016403 	 Target: 0 
 413 CSIM: 1 : 00.97576 	 XGBOOST: 1 : 00.99629  	 Conifer: 00.96564 : 00.97576 	 FPGA: 1 : 00.97576 	 Target: 1 
 414 CSIM: 1 : 00.99872 	 XGBOOST: 1 : 000.9995  	 Conifer: 00.99826 : 00.99872 	 FPGA: 1 : 00.99872 	 Target: 1 
 415 CSIM: 1 : 0.011508 	 XGBOOST: 1 : 0.00054927  	 Conifer: 0.0077556 : 0.011508 	 FPGA: 1 : 0.011508 	 Target: 0 
 416 CSIM: 1 : 00.99282 	 XGBOOST: 1 : 00.99932  	 Conifer: 00.99014 : 00.99282 	 FPGA: 1 : 00.99282 	 Target: 1 
 417 CSIM: 1 : 000.1294 	 XGBOOST: 1 : 00.10044  	 Conifer: 0.090093 : 000.1294 	 FPGA: 1 : 000.1294 	 Target: 1 
 418 CSIM: 1 : 00.98893 	 XGBOOST: 1 : 00.99886  	 Conifer: 00.98446 : 00.98893 	 FPGA: 1 : 00.98893 	 Target: 1 
 419 CSIM: 1 : 00.98822 	 XGBOOST: 1 : 00.99758  	 Conifer: 00.98434 : 00.98822 	 FPGA: 1 : 00.98822 	 Target: 1 
 420 CSIM: 1 : 0.0028449 	 XGBOOST: 1 : 7.3854e-05  	 Conifer: 0.0019878 : 0.0028449 	 FPGA: 1 : 0.0028449 	 Target: 0 
 421 CSIM: 1 : 0.080357 	 XGBOOST: 1 : 0.011091  	 Conifer: 0.055823 : 0.080357 	 FPGA: 1 : 0.080357 	 Target: 1 
 422 CSIM: 1 : 00.89029 	 XGBOOST: 1 : 00.96998  	 Conifer: 00.85097 : 00.89029 	 FPGA: 1 : 00.89029 	 Target: 1 
 423 CSIM: 1 : 0.0002653 	 XGBOOST: 1 : 1.6384e-05  	 Conifer: 0.00017537 : 0.0002653 	 FPGA: 1 : 0.0002653 	 Target: 0 
 424 CSIM: 1 : 0.0032225 	 XGBOOST: 1 : 8.4171e-05  	 Conifer: 0.0021827 : 0.0032225 	 FPGA: 1 : 0.0032225 	 Target: 0 
 425 CSIM: 1 : 00.98572 	 XGBOOST: 1 : 00.99838  	 Conifer: 00.97935 : 00.98572 	 FPGA: 1 : 00.98572 	 Target: 1 
 426 CSIM: 1 : 00.90862 	 XGBOOST: 1 : 00.96933  	 Conifer: 00.87235 : 00.90862 	 FPGA: 1 : 00.90862 	 Target: 1 
 427 CSIM: 1 : 00.99609 	 XGBOOST: 1 : 00.99933  	 Conifer: 00.99361 : 00.99609 	 FPGA: 1 : 00.99609 	 Target: 1 
 428 CSIM: 1 : 00.97788 	 XGBOOST: 1 : 00.99791  	 Conifer: 00.96616 : 00.97788 	 FPGA: 1 : 00.97788 	 Target: 1 
 429 CSIM: 1 : 00.99539 	 XGBOOST: 1 : 00.99947  	 Conifer: 00.99351 : 00.99539 	 FPGA: 1 : 00.99539 	 Target: 1 
 430 CSIM: 1 : 000.9939 	 XGBOOST: 1 : 00.99932  	 Conifer: 00.99129 : 000.9939 	 FPGA: 1 : 000.9939 	 Target: 1 
 431 CSIM: 1 : 00.33983 	 XGBOOST: 1 : 000.1074  	 Conifer: 00.25982 : 00.33983 	 FPGA: 1 : 00.33983 	 Target: 0 
 432 CSIM: 1 : 00.99668 	 XGBOOST: 1 : 00.99965  	 Conifer: 00.99535 : 00.99668 	 FPGA: 1 : 00.99668 	 Target: 1 
 433 CSIM: 1 : 00.22816 	 XGBOOST: 1 : 0.0024416  	 Conifer: 00.16776 : 00.22816 	 FPGA: 1 : 00.22816 	 Target: 0 
 434 CSIM: 1 : 0.017442 	 XGBOOST: 1 : 0.010655  	 Conifer: 00.01142 : 0.017442 	 FPGA: 1 : 0.017442 	 Target: 0 
 435 CSIM: 1 : 0.027376 	 XGBOOST: 1 : 0.0014323  	 Conifer: 0.018405 : 0.027376 	 FPGA: 1 : 0.027376 	 Target: 0 
 436 CSIM: 1 : 0.028653 	 XGBOOST: 1 : 0.00095832  	 Conifer: 0.018833 : 0.028653 	 FPGA: 1 : 0.028653 	 Target: 0 
 437 CSIM: 1 : 0.0079998 	 XGBOOST: 1 : 0.00015071  	 Conifer: 0.0051396 : 0.0079998 	 FPGA: 1 : 0.0079998 	 Target: 0 
 438 CSIM: 1 : 0.018833 	 XGBOOST: 1 : 00.00736  	 Conifer: 0.012241 : 0.018833 	 FPGA: 1 : 0.018833 	 Target: 0 
 439 CSIM: 1 : 0.037327 	 XGBOOST: 1 : 0.0025074  	 Conifer: 00.02461 : 0.037327 	 FPGA: 1 : 0.037327 	 Target: 0 
 440 CSIM: 1 : 0.048496 	 XGBOOST: 1 : 0.0030024  	 Conifer: 00.03259 : 0.048496 	 FPGA: 1 : 0.048496 	 Target: 0 
 441 CSIM: 1 : 0.0083805 	 XGBOOST: 1 : 0.00091209  	 Conifer: 0.0060504 : 0.0083805 	 FPGA: 1 : 0.0083805 	 Target: 0 
 442 CSIM: 1 : 0.042088 	 XGBOOST: 1 : 0.00047122  	 Conifer: 0.028653 : 0.042088 	 FPGA: 1 : 0.042088 	 Target: 0 
 443 CSIM: 1 : 0.0070118 	 XGBOOST: 1 : 0.0011599  	 Conifer: 0.0049437 : 0.0070118 	 FPGA: 1 : 0.0070118 	 Target: 0 
 444 CSIM: 1 : 0.0065898 	 XGBOOST: 1 : 0.00012553  	 Conifer: 0.0042979 : 0.0065898 	 FPGA: 1 : 0.0065898 	 Target: 0 
 445 CSIM: 1 : 0.00049942 	 XGBOOST: 1 : 7.0328e-06  	 Conifer: 0.00032251 : 0.00049942 	 FPGA: 1 : 0.00049942 	 Target: 0 
 446 CSIM: 1 : 00.96838 	 XGBOOST: 1 : 00.99549  	 Conifer: 00.95431 : 00.96838 	 FPGA: 1 : 00.96838 	 Target: 1 
 447 CSIM: 1 : 0.017177 	 XGBOOST: 1 : 0.0043204  	 Conifer: 0.011332 : 0.017177 	 FPGA: 1 : 0.017177 	 Target: 0 
 448 CSIM: 1 : 0.0042646 	 XGBOOST: 1 : 0.0002731  	 Conifer: 0.0032477 : 0.0042646 	 FPGA: 1 : 0.0042646 	 Target: 0 
 449 CSIM: 1 : 00.99875 	 XGBOOST: 1 : 00.99961  	 Conifer: 00.99823 : 00.99875 	 FPGA: 1 : 00.99875 	 Target: 1 
 450 CSIM: 1 : 00.99587 	 XGBOOST: 1 : 00.99933  	 Conifer: 00.99431 : 00.99587 	 FPGA: 1 : 00.99587 	 Target: 1 
 451 CSIM: 1 : 00.99567 	 XGBOOST: 1 : 00.99954  	 Conifer: 00.99385 : 00.99567 	 FPGA: 1 : 00.99567 	 Target: 1 
 452 CSIM: 1 : 00.20056 	 XGBOOST: 1 : 0.0049033  	 Conifer: 00.14319 : 00.20056 	 FPGA: 1 : 00.20056 	 Target: 0 
 453 CSIM: 1 : 00.98822 	 XGBOOST: 1 : 00.99874  	 Conifer: 00.98372 : 00.98822 	 FPGA: 1 : 00.98822 	 Target: 1 
 454 CSIM: 1 : 00.50391 	 XGBOOST: 1 : 00.50224  	 Conifer: 00.39048 : 00.50391 	 FPGA: 1 : 00.50391 	 Target: 1 
 455 CSIM: 1 : 00.37023 	 XGBOOST: 1 : 00.29895  	 Conifer: 00.28777 : 00.37023 	 FPGA: 1 : 00.37023 	 Target: 1 
 456 CSIM: 1 : 0.0035657 	 XGBOOST: 1 : 0.00024002  	 Conifer: 0.0024344 : 0.0035657 	 FPGA: 1 : 0.0035657 	 Target: 0 
 457 CSIM: 1 : 00.91055 	 XGBOOST: 1 : 00.96358  	 Conifer: 00.87915 : 00.91055 	 FPGA: 1 : 00.91055 	 Target: 1 
 458 CSIM: 1 : 00.42823 	 XGBOOST: 1 : 00.12022  	 Conifer: 00.32595 : 00.42823 	 FPGA: 1 : 00.42823 	 Target: 1 
 459 CSIM: 1 : 0.030676 	 XGBOOST: 1 : 0.0009727  	 Conifer: 0.020177 : 0.030676 	 FPGA: 1 : 0.030676 	 Target: 0 
 460 CSIM: 1 : 0.00061663 	 XGBOOST: 1 : 4.0331e-05  	 Conifer: 0.00037703 : 0.00061663 	 FPGA: 1 : 0.00061663 	 Target: 0 
 461 CSIM: 1 : 0.041153 	 XGBOOST: 1 : 0.0038918  	 Conifer: 0.026355 : 0.041153 	 FPGA: 1 : 0.041153 	 Target: 0 
 462 CSIM: 1 : 00.97887 	 XGBOOST: 1 : 00.96219  	 Conifer: 00.96932 : 00.97887 	 FPGA: 1 : 00.97887 	 Target: 1 
 463 CSIM: 1 : 00.97822 	 XGBOOST: 1 : 000.9979  	 Conifer: 00.96862 : 00.97822 	 FPGA: 1 : 00.97822 	 Target: 1 
 464 CSIM: 1 : 00.95915 	 XGBOOST: 1 : 00.98068  	 Conifer: 00.94165 : 00.95915 	 FPGA: 1 : 00.95915 	 Target: 1 
 465 CSIM: 1 : 00.10521 	 XGBOOST: 1 : 0.032931  	 Conifer: 0.071074 : 00.10521 	 FPGA: 1 : 00.10521 	 Target: 0 
 466 CSIM: 1 : 00.54286 	 XGBOOST: 1 : 0.095794  	 Conifer: 000.4436 : 00.54286 	 FPGA: 1 : 00.54286 	 Target: 1 
 467 CSIM: 1 : 0.0094857 	 XGBOOST: 1 : 0.00026279  	 Conifer: 0.0061451 : 0.0094857 	 FPGA: 1 : 0.0094857 	 Target: 0 
 468 CSIM: 1 : 0.095349 	 XGBOOST: 1 : 0.0016194  	 Conifer: 0.062789 : 0.095349 	 FPGA: 1 : 0.095349 	 Target: 0 
 469 CSIM: 1 : 00.84078 	 XGBOOST: 1 : 00.93107  	 Conifer: 00.78531 : 00.84078 	 FPGA: 1 : 00.84078 	 Target: 1 
 470 CSIM: 1 : 00.96838 	 XGBOOST: 1 : 00.99778  	 Conifer: 00.95598 : 00.96838 	 FPGA: 1 : 00.96838 	 Target: 1 
 471 CSIM: 1 : 00.99621 	 XGBOOST: 1 : 00.99962  	 Conifer: 00.99462 : 00.99621 	 FPGA: 1 : 00.99621 	 Target: 1 
 472 CSIM: 1 : 00.15304 	 XGBOOST: 1 : 0.023846  	 Conifer: 00.10669 : 00.15304 	 FPGA: 1 : 00.15304 	 Target: 0 
 473 CSIM: 1 : 0.00087618 	 XGBOOST: 1 : 3.2664e-05  	 Conifer: 0.00057929 : 0.00087618 	 FPGA: 1 : 0.00087618 	 Target: 0 
 474 CSIM: 1 : 00.99445 	 XGBOOST: 1 : 00.99909  	 Conifer: 00.99206 : 00.99445 	 FPGA: 1 : 00.99445 	 Target: 1 
 475 CSIM: 1 : 000.9855 	 XGBOOST: 1 : 00.99843  	 Conifer: 00.97935 : 000.9855 	 FPGA: 1 : 000.9855 	 Target: 1 
 476 CSIM: 1 : 0.0057302 	 XGBOOST: 1 : 0.0006903  	 Conifer: 0.0039148 : 0.0057302 	 FPGA: 1 : 0.0057302 	 Target: 0 
 477 CSIM: 1 : 0.00076133 	 XGBOOST: 1 : 1.9643e-06  	 Conifer: 0.00050334 : 0.00076133 	 FPGA: 1 : 0.00076133 	 Target: 0 
 478 CSIM: 1 : 00.48828 	 XGBOOST: 1 : 00.56598  	 Conifer: 00.39607 : 00.48828 	 FPGA: 1 : 00.48828 	 Target: 1 
 479 CSIM: 1 : 00.97595 	 XGBOOST: 1 : 00.99526  	 Conifer: 00.96666 : 00.97595 	 FPGA: 1 : 00.97595 	 Target: 0 
 480 CSIM: 1 : 00.98516 	 XGBOOST: 1 : 00.99834  	 Conifer: 00.97887 : 00.98516 	 FPGA: 1 : 00.98516 	 Target: 1 
 481 CSIM: 1 : 00.97951 	 XGBOOST: 1 : 000.9983  	 Conifer: 00.97135 : 00.97951 	 FPGA: 1 : 00.97951 	 Target: 1 
 482 CSIM: 1 : 00.99224 	 XGBOOST: 1 : 00.99911  	 Conifer: 00.98901 : 00.99224 	 FPGA: 1 : 00.99224 	 Target: 1 
 483 CSIM: 1 : 00.62429 	 XGBOOST: 1 : 00.31099  	 Conifer: 00.53704 : 00.62429 	 FPGA: 1 : 00.62429 	 Target: 1 
 484 CSIM: 1 : 0.064183 	 XGBOOST: 1 : 0.0019927  	 Conifer: 0.043043 : 0.064183 	 FPGA: 1 : 0.064183 	 Target: 1 
 485 CSIM: 1 : 00.07056 	 XGBOOST: 1 : 0.059718  	 Conifer: 0.049959 : 00.07056 	 FPGA: 1 : 00.07056 	 Target: 0 
 486 CSIM: 1 : 00.07056 	 XGBOOST: 1 : 0.059718  	 Conifer: 0.049959 : 00.07056 	 FPGA: 1 : 00.07056 	 Target: 0 
 487 CSIM: 1 : 0.013742 	 XGBOOST: 1 : 0.00098547  	 Conifer: 0.0094126 : 0.013742 	 FPGA: 1 : 0.013742 	 Target: 0 
 488 CSIM: 1 : 0.001216 	 XGBOOST: 1 : 4.4709e-06  	 Conifer: 0.00081039 : 0.001216 	 FPGA: 1 : 0.001216 	 Target: 0 
 489 CSIM: 1 : 0.041153 	 XGBOOST: 1 : 0.0018218  	 Conifer: 0.026759 : 0.041153 	 FPGA: 1 : 0.041153 	 Target: 0 
 490 CSIM: 1 : 00.95598 	 XGBOOST: 1 : 00.97365  	 Conifer: 00.93903 : 00.95598 	 FPGA: 1 : 00.95598 	 Target: 1 
 491 CSIM: 1 : 00.82333 	 XGBOOST: 1 : 00.45294  	 Conifer: 00.76065 : 00.82333 	 FPGA: 1 : 00.82333 	 Target: 1 
 492 CSIM: 1 : 00.02976 	 XGBOOST: 1 : 0.0069331  	 Conifer: 0.019871 : 00.02976 	 FPGA: 1 : 00.02976 	 Target: 0 
 493 CSIM: 1 : 0.025761 	 XGBOOST: 1 : 0.00057834  	 Conifer: 0.017712 : 0.025761 	 FPGA: 1 : 0.025761 	 Target: 0 
